Volcano Name,Country,Latitude,Longitude,Elevation (m),Type,Status,Last Known Eruption,year,mo,dy,tsu,eq,vei,deaths,damage_mil,houses_destroyed,total_deaths,total_damage_mil
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1660,11,3,,,4,,,,,
Long Island,Papua New Guinea,-5.358,147.12,1280,Complex volcano,Historical,D1,1660,,,5482,,6,2000,,,2000,
Toya,Japan,42.544,140.839,733,Stratovolcano,Historical,D1,1663,8,16,,,5,5,,,5,
Unzendake,Japan,32.761,130.299,1483,Complex volcano,Historical,D1,1664,4,15,,,2,30,,,30,
Io-Torishima,Japan,27.881,128.223,212,Complex volcano,Historical,D1,1664,,,293,,,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1669,3,11,,1057,3,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1669,3,19,,,3,2,,,2,
Ambae,Vanuatu,-15.389,167.835,1496,Shield volcano,Historical,D1,1670,,,,,2,,,,,
Fayal,Portugal,38.576,-28.713,1041,Stratovolcano,Historical,D2,1672,4,24,,,2,3,,,3,
Merapi,Indonesia,-7.54,110.446,2910,Stratovolcano,Historical,D1,1672,8,4,,,3,3000,,,3000,
Gamkonora,Indonesia,1.38,127.53,1635,Stratovolcano,Historical,D1,1673,5,20,312,,5,,,,,
La Palma,Spain,28.57,-17.83,2426,Stratovolcano,Historical,D1,1677,11,22,,,2,1,,,1,
Zukur,Yemen,14.02,42.75,624,Shield volcano,Holocene,U,1679,9,21,,8202,,,,,,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1682,8,12,,,3,4,,,4,
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,Historical,D1,1684,12,,,,2,1,,,1,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1690,2,3,3138,,3,,,,,
Guntur,Indonesia,-7.143,107.841,2251,Complex volcano,Historical,D3,1690,,,,,3,,,,,
Serua,Pacific Ocean,-6.312,130.017,608,Stratovolcano,Historical,D2,1692,6,4,,,4,,,,,
Etna,Italy,37.748,14.999,3357,Stratovolcano,Historical,D1,1693,1,9,,1129,,,,,,
Hekla,Iceland,63.983,-19.666,1490,Stratovolcano,Historical,D1,1693,2,13,347,,4,,,,,
Banda Api,Pacific Ocean,-4.523,129.881,596,Caldera,Historical,D1,1694,11,20,,,3,,,,,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1698,5,,3141,,3,,,,,
Ciremai,Indonesia,-6.895,108.408,3039,Stratovolcano,Historical,D2,1698,,,,,3,,,,,
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,1698,,,,,3,,,,,
Tenerife,Spain,28.271,-16.641,3715,Stratovolcano,Historical,D2,1706,5,5,375,,2,,,,,
Santorini,Greece,36.404,25.396,367,Shield volcano,Historical,D2,1707,5,,3148,,3,,,,,
Fujisan,Japan,35.361,138.728,3776,Stratovolcano,Historical,D4,1707,12,16,,1178,4,,,75,,
Awu,Indonesia,3.689,125.447,1318,Stratovolcano,Historical,D1,1711,12,11,,,3,3000,,,3000,
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,Historical,D2,1712,1,15,,,2,,,,,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1714,6,30,3150,,,,,,,
Kelud,Indonesia,-7.935,112.314,1730,Stratovolcano,Historical,D1,1716,7,20,,,2,,,,,
Taal,Philippines,14.002,120.993,311,Stratovolcano,Historical,D1,1716,9,24,387,1205,4,,,,,
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,Historical,D2,1716,10,5,,,2,,,,,
Kirishimayama,Japan,31.934,130.862,1700,Shield volcano,Historical,D1,1716,11,9,,,3,1,,,1,
Kirishimayama,Japan,31.934,130.862,1700,Shield volcano,Historical,D1,1717,2,7,,,3,1,,,1,
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,Historical,D2,1717,8,4,,,3,,,,,
Fuego,Guatemala,14.473,-90.88,3763,Stratovolcano,Historical,D1,1717,8,27,,,3,,,,,
Pico,Portugal,38.47,-28.4,2351,Stratovolcano,Historical,D4,1718,2,1,,,2,2,,,2,
Katla,Iceland,63.633,-19.083,1490,Subglacial volcano,Historical,D2,1721,5,11,,,5,,,,,
Asamayama,Japan,36.406,138.523,2568,Complex volcano,Historical,D1,1721,6,22,,,1,15,,,15,
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,Historical,D2,1726,2,1,,,1,,,,,
Oraefajokull,Iceland,64,-16.65,2010,Stratovolcano,Historical,D4,1727,8,3,,,4,3,,,3,
Bardarbunga,Iceland,64.633,-17.516,2000,Stratovolcano,Historical,D2,1729,2,1,,,1,,,,,
Krafla,Iceland,65.715,-16.728,800,Caldera,Historical,D1,1729,6,30,,,2,,,,,
Lanzarote,Spain,29.03,-13.63,670,Fissure vent,Historical,D3,1730,9,1,,,2,,,,,
Raung,Indonesia,-8.119,114.056,3260,Stratovolcano,Historical,D1,1730,,,,,3,,,,,
Tseax River Cone,Canada,55.12,-128.9,609,Pyroclastic cone,Radiocarbon,D4,1730,,,,,,,,,,
Vesuvius,Italy,40.821,14.426,1281,Complex volcano,Historical,D2,1737,5,20,,,2,2,,,2,
Oshima-Oshima,Japan,41.51,139.367,732,Stratovolcano,Historical,D4,1741,8,23,419,,4,,,,2000,
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,1742,6,15,,,3,,,,,
Cotopaxi,Ecuador,-0.677,-78.436,5911,Stratovolcano,Historical,D2,1742,12,9,,,3,,,,,
Taal,Philippines,14.002,120.993,311,Stratovolcano,Historical,D1,1749,8,11,431,1304,3,,,,,
Grimsvotn,Iceland,64.416,-17.316,1719,Caldera,Historical,D1,1753,10,15,,,2,,,,,
